                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.56555,                0.35602,                 1.0893,                0.95518,                0.96882,                0.98422,                0.87997,                0.54082,                0.27133,                 1.1287,             0.00061269,             0.00061269,             0.00061269
                    105,                0.55998,                0.35442,                 1.0891,                0.95564,                0.95998,                0.98267,                0.88497,                0.52278,                0.26878,                 1.1163,              0.0006065,              0.0006065,              0.0006065
                    106,                0.55557,                0.35272,                 1.0879,                0.95366,                 0.9736,                0.98361,                0.88099,                0.52662,                0.26724,                 1.1192,             0.00060031,             0.00060031,             0.00060031
                    107,                0.55586,                0.35217,                 1.0814,                0.96348,                0.96327,                0.98283,                0.88456,                0.52944,                0.26343,                 1.1266,             0.00059413,             0.00059413,             0.00059413
                    108,                0.55384,                0.35056,                  1.085,                0.95172,                0.97211,                0.97964,                0.88285,                0.51502,                0.26919,                 1.1185,             0.00058794,             0.00058794,             0.00058794
                    109,                 0.5534,                0.34919,                 1.0842,                0.96015,                0.96806,                0.98295,                0.88317,                0.52053,                0.26328,                 1.1144,             0.00058175,             0.00058175,             0.00058175
                    110,                0.55296,                0.34847,                 1.0851,                0.96094,                0.97778,                0.98091,                0.87947,                0.51363,                0.26104,                 1.1107,             0.00057556,             0.00057556,             0.00057556
                    111,                0.54517,                0.34318,                 1.0778,                0.95617,                0.97901,                0.98511,                0.88642,                0.51222,                0.25943,                  1.109,             0.00056938,             0.00056938,             0.00056938
                    112,                0.54522,                0.34942,                 1.0741,                0.96772,                0.96231,                0.98368,                0.88985,                0.51207,                0.26318,                 1.1055,             0.00056319,             0.00056319,             0.00056319
                    113,                0.53821,                0.34367,                 1.0746,                0.94808,                0.97628,                 0.9824,                0.88691,                0.50199,                0.26284,                 1.1029,               0.000557,               0.000557,               0.000557
                    114,                0.53661,                0.33804,                 1.0663,                0.96222,                0.96237,                0.98475,                0.88795,                0.51272,                0.26442,                 1.1103,             0.00055081,             0.00055081,             0.00055081
                    115,                 0.5378,                0.34334,                 1.0729,                0.95737,                0.97183,                0.98617,                0.89087,                0.50004,                 0.2583,                 1.0995,             0.00054463,             0.00054463,             0.00054463
                    116,                0.53387,                0.33809,                 1.0662,                0.95516,                 0.9692,                0.98489,                0.89788,                0.48257,                0.25282,                 1.0839,             0.00053844,             0.00053844,             0.00053844
                    117,                0.52864,                0.33767,                 1.0629,                0.96206,                 0.9712,                0.98538,                0.89519,                0.49171,                0.25554,                 1.0877,             0.00053225,             0.00053225,             0.00053225
                    118,                0.52607,                0.33321,                 1.0652,                0.94419,                0.98459,                0.98327,                0.89254,                0.49619,                0.25714,                   1.09,             0.00052606,             0.00052606,             0.00052606
                    119,                0.52355,                0.33105,                 1.0603,                0.94935,                0.97514,                0.98006,                0.89141,                 0.4845,                0.25721,                 1.0836,             0.00051988,             0.00051988,             0.00051988
                    120,                0.53261,                0.33434,                 1.0684,                0.95121,                0.97523,                0.98088,                0.89047,                0.48801,                0.25769,                 1.0877,             0.00051369,             0.00051369,             0.00051369
                    121,                0.52361,                0.33091,                 1.0628,                0.95643,                0.97148,                0.98333,                0.89567,                0.49568,                0.25259,                 1.0906,              0.0005075,              0.0005075,              0.0005075
                    122,                0.51524,                 0.3255,                 1.0572,                0.96164,                0.96871,                0.98386,                0.89465,                0.49042,                 0.2499,                 1.0899,             0.00050131,             0.00050131,             0.00050131
                    123,                0.51622,                0.32526,                 1.0584,                0.95739,                0.96964,                0.98503,                0.90076,                0.47797,                0.24806,                 1.0752,             0.00049513,             0.00049513,             0.00049513
                    124,                0.51631,                0.32506,                 1.0587,                0.96339,                0.96663,                0.98391,                0.89881,                0.47745,                 0.2446,                 1.0798,             0.00048894,             0.00048894,             0.00048894
                    125,                0.50899,                0.32109,                 1.0508,                0.96483,                0.96942,                 0.9846,                0.89686,                  0.475,                0.24823,                 1.0766,             0.00048275,             0.00048275,             0.00048275
                    126,                0.51164,                0.32214,                 1.0584,                0.94964,                0.97839,                0.98453,                0.90142,                0.47803,                0.24874,                 1.0811,             0.00047656,             0.00047656,             0.00047656
                    127,                0.50025,                0.31374,                 1.0455,                0.95843,                0.97033,                0.98626,                0.90362,                0.48426,                0.24381,                 1.0855,             0.00047038,             0.00047038,             0.00047038
                    128,                0.50756,                0.31877,                 1.0498,                0.95015,                0.97496,                0.98598,                0.90041,                0.47835,                0.24523,                 1.0808,             0.00046419,             0.00046419,             0.00046419
                    129,                0.49109,                 0.3105,                 1.0356,                0.95604,                0.97215,                0.98772,                0.90383,                 0.4773,                0.24457,                 1.0781,               0.000458,               0.000458,               0.000458
                    130,                0.49448,                0.31034,                 1.0383,                0.96043,                0.97115,                0.98687,                0.90172,                0.47309,                0.24239,                  1.074,             0.00045181,             0.00045181,             0.00045181
                    131,                0.49161,                0.31317,                 1.0437,                0.95397,                 0.9743,                0.98318,                0.89976,                 0.4705,                0.24414,                 1.0711,             0.00044563,             0.00044563,             0.00044563
                    132,                0.48883,                0.31179,                 1.0391,                0.95469,                0.97308,                0.98348,                0.89941,                0.47028,                0.24133,                 1.0729,             0.00043944,             0.00043944,             0.00043944
                    133,                0.48903,                0.30733,                 1.0423,                0.96258,                 0.9695,                0.98187,                0.89924,                0.46829,                0.23716,                 1.0698,             0.00043325,             0.00043325,             0.00043325
                    134,                0.48881,                0.30748,                 1.0388,                0.96241,                0.97118,                0.98462,                0.90413,                0.46609,                0.23682,                 1.0692,             0.00042706,             0.00042706,             0.00042706
                    135,                0.48811,                0.30567,                 1.0352,                0.96197,                0.96667,                0.98521,                0.90835,                0.45787,                0.23072,                  1.063,             0.00042087,             0.00042087,             0.00042087
                    136,                0.48637,                0.30625,                  1.036,                0.95303,                0.97663,                0.98371,                0.90451,                0.45594,                0.23238,                 1.0617,             0.00041469,             0.00041469,             0.00041469
                    137,                0.47668,                0.30223,                 1.0298,                0.95315,                0.97779,                0.98623,                0.90492,                0.46069,                0.23137,                 1.0705,              0.0004085,              0.0004085,              0.0004085
                    138,                0.48113,                0.30067,                 1.0332,                0.96946,                0.95887,                0.98411,                0.90562,                0.45655,                0.23603,                 1.0643,             0.00040231,             0.00040231,             0.00040231
                    139,                0.47338,                0.30039,                 1.0252,                0.96742,                0.96833,                0.98427,                0.91041,                0.45334,                 0.2312,                 1.0619,             0.00039613,             0.00039613,             0.00039613
                    140,                0.47857,                0.30384,                 1.0312,                0.95125,                0.98231,                0.98505,                0.90928,                0.45195,                0.23093,                 1.0589,             0.00038994,             0.00038994,             0.00038994
                    141,                0.47115,                0.29946,                 1.0254,                0.96695,                0.96477,                0.98353,                0.90532,                0.45327,                0.22912,                 1.0575,             0.00038375,             0.00038375,             0.00038375
                    142,                0.46998,                0.29562,                 1.0197,                0.95448,                0.97896,                0.98383,                0.90716,                 0.4545,                0.22873,                 1.0615,             0.00037756,             0.00037756,             0.00037756
                    143,                 0.4682,                0.29657,                 1.0256,                0.96692,                0.96673,                 0.9858,                 0.9083,                0.44888,                0.22746,                 1.0533,             0.00037138,             0.00037138,             0.00037138
                    144,                0.46796,                0.29377,                 1.0268,                0.95874,                0.97483,                0.98435,                0.90586,                0.44822,                0.22786,                 1.0566,             0.00036519,             0.00036519,             0.00036519
                    145,                0.46155,                0.29152,                 1.0202,                0.95934,                0.97295,                0.98223,                0.90269,                0.44534,                0.22735,                 1.0538,               0.000359,               0.000359,               0.000359
                    146,                0.46094,                0.29313,                 1.0205,                 0.9603,                0.97295,                0.98441,                0.90755,                0.45098,                0.22724,                 1.0575,             0.00035281,             0.00035281,             0.00035281
                    147,                0.46406,                0.28897,                 1.0215,                0.95168,                0.98054,                0.98196,                0.90568,                0.44952,                0.23027,                 1.0563,             0.00034663,             0.00034663,             0.00034663
                    148,                0.45918,                0.28608,                 1.0134,                0.96133,                 0.9745,                0.98206,                0.90634,                0.44455,                0.22836,                 1.0543,             0.00034044,             0.00034044,             0.00034044
